"species","term_lab","mean_est","median_est","lower_95","upper_95","effect_cat"
"Acmispon.americanus","Temperature",-0.0287348377711786,-0.0324235680097608,-0.094669547990074,0.0346512260943888,"Negative (<90%)"
"Acmispon.americanus","Precipitation",0.0562489281036977,0.0598626823046841,-0.0177345062910233,0.109874567919448,"Positive (90–95%)"
"Acmispon.americanus","Latitude",0.153101854224455,0.159295364705269,-0.00422704525963047,0.296206464903789,"Positive (>95%)"
"Acmispon.americanus","Temperature × Precipitation",-0.0273589199481401,-0.0334727203401166,-0.084060131555211,0.0326695449455728,"Negative (<90%)"
"Acmispon.americanus","Latitude × Temperature",0.0942987380837244,0.0975450162503801,-0.0318901857293877,0.239213217841985,"Positive (90–95%)"
"Acmispon.americanus","Latitude × Precipitation",0.04668931424181,0.0424632599519584,-0.0552744832336461,0.173711219096028,"Positive (<90%)"
"Adelinia.grandis","Temperature",-0.0833134642050324,-0.0833017893276189,-0.14008787008652,-0.0131718148455597,"Negative (>95%)"
"Adelinia.grandis","Precipitation",0.0302751362699036,0.0269139235463612,-0.0122700815419381,0.0908496340675734,"Positive (<90%)"
"Adelinia.grandis","Latitude",0.112710904156576,0.0946513989314154,-0.0450110463457113,0.320017432943589,"Positive (<90%)"
"Adelinia.grandis","Temperature × Precipitation",0.0323725156672298,0.0253739891947447,-0.021787716584869,0.128276118484587,"Positive (<90%)"
"Adelinia.grandis","Latitude × Temperature",0.0803432098007808,0.0797656607040569,0.00138166225376379,0.197689528725271,"Positive (>95%)"
"Adelinia.grandis","Latitude × Precipitation",0.0663642491936792,0.0632726746313391,0.00540294297775869,0.140314762931062,"Positive (>95%)"
"Bellardia.viscosa","Temperature",-0.0382019131822681,-0.0451716127091788,-0.0660757252061686,-0.00104730777777627,"Negative (>95%)"
"Bellardia.viscosa","Precipitation",0.0622858261679113,0.0628441923415749,0.0241889641263465,0.101182338696782,"Positive (>95%)"
"Bellardia.viscosa","Latitude",0.188481583218889,0.188589857963924,0.151308327692802,0.230442699898368,"Positive (>95%)"
"Bellardia.viscosa","Temperature × Precipitation",-0.00438823376339773,-0.000613952829073746,-0.0635256803289876,0.0322897088485712,"Negative (<90%)"
"Bellardia.viscosa","Latitude × Temperature",0.0529468719527175,0.0539752453347547,0.00720716612226838,0.0909672968956346,"Positive (>95%)"
"Bellardia.viscosa","Latitude × Precipitation",0.0143758781604405,0.015717008822369,-0.0366997379427905,0.045757895615382,"Positive (<90%)"
"Brassica.rapa","Temperature",-0.031116938467068,-0.0411567646385126,-0.0736843520738717,0.0334189257715999,"Negative (<90%)"
"Brassica.rapa","Precipitation",0.0679718607053198,0.0688323576315586,0.010204197120146,0.125306150358501,"Positive (>95%)"
"Brassica.rapa","Latitude",0.228458963404204,0.223479689104117,0.167921397017344,0.294708252841003,"Positive (>95%)"
"Brassica.rapa","Temperature × Precipitation",0.0550079357658597,0.0513737356687556,-0.000495683343801251,0.123652277229412,"Positive (>95%)"
"Brassica.rapa","Latitude × Temperature",0.0943253319470195,0.10376897005007,0.00902594950271498,0.165599571886901,"Positive (>95%)"
"Brassica.rapa","Latitude × Precipitation",0.0121707829284247,0.0179114089331518,-0.0625837366737232,0.0663517396903591,"Positive (<90%)"
"Camassia.leichtlinii","Temperature",-0.0501424212564938,-0.0494864090174963,-0.113412265460515,-0.00285964353149995,"Negative (>95%)"
"Camassia.leichtlinii","Precipitation",0.0561604231597641,0.056867406844546,0.0110301704969013,0.0993294786766941,"Positive (>95%)"
"Camassia.leichtlinii","Latitude",0.241429970766555,0.23996144682926,0.174941608779927,0.340146708667681,"Positive (>95%)"
"Camassia.leichtlinii","Temperature × Precipitation",0.0114591775428187,0.00845855713737362,-0.0203061235600109,0.055993224100971,"Positive (<90%)"
"Camassia.leichtlinii","Latitude × Temperature",0.0610945350650212,0.0586294464439897,-0.0142507374610465,0.146102561644276,"Positive (90–95%)"
"Camassia.leichtlinii","Latitude × Precipitation",0.0706218346739212,0.069305743143355,-0.000224635509498694,0.138641741544416,"Positive (>95%)"
"Centaurium.erythraea","Temperature",-0.0366888221572533,-0.0354368465236844,-0.0927203620466381,0.0113257623040317,"Negative (90–95%)"
"Centaurium.erythraea","Precipitation",0.0462637266604018,0.0511353390328733,-0.00379820124189957,0.086393300042776,"Positive (>95%)"
"Centaurium.erythraea","Latitude",0.0995245965710368,0.103727505907064,0.0415158135360989,0.146183469415563,"Positive (>95%)"
"Centaurium.erythraea","Temperature × Precipitation",-0.0202362800487706,-0.0169159708215295,-0.0620931444985474,0.0115828072603788,"Negative (<90%)"
"Centaurium.erythraea","Latitude × Temperature",0.0212066543468139,0.0239976271692798,-0.0308872810499485,0.0784710289178041,"Positive (<90%)"
"Centaurium.erythraea","Latitude × Precipitation",0.0368265787824007,0.0372639444744182,-0.0163427963548994,0.0951950121416729,"Positive (<90%)"
"Clarkia.amoena","Temperature",0.0176928536398932,0.0153457952729328,-0.0263332237766776,0.065786603072487,"Positive (<90%)"
"Clarkia.amoena","Precipitation",0.0789919472066507,0.0792053367800052,0.0264485415204783,0.135025487609001,"Positive (>95%)"
"Clarkia.amoena","Latitude",0.100031219414936,0.0940244870044997,0.00524515916231548,0.224450369859125,"Positive (>95%)"
"Clarkia.amoena","Temperature × Precipitation",0.0321877790168775,0.0226181170724801,-0.00522948877135276,0.0953644352147887,"Positive (90–95%)"
"Clarkia.amoena","Latitude × Temperature",0.0890772830891621,0.0804906846863852,0.0329550456439573,0.163852691962559,"Positive (>95%)"
"Clarkia.amoena","Latitude × Precipitation",0.06656957086153,0.0601221341675687,-0.00651346635919358,0.161812534035919,"Positive (>95%)"
"Clarkia.purpurea","Temperature",-0.00771611997082585,-0.0137061920748096,-0.0672918407432828,0.0658752965773088,"Negative (<90%)"
"Clarkia.purpurea","Precipitation",0.0748130964276622,0.0684612952502489,0.00506217775030003,0.140744192940208,"Positive (>95%)"
"Clarkia.purpurea","Latitude",0.197152358310047,0.192299548871987,0.116646749564736,0.290825647152411,"Positive (>95%)"
"Clarkia.purpurea","Temperature × Precipitation",0.00174479750667539,0.00506527140235261,-0.0661260113303707,0.0475393766000556,"Positive (<90%)"
"Clarkia.purpurea","Latitude × Temperature",0.0362119384617952,0.0387543560712628,-0.0579477375228307,0.117105051361588,"Positive (<90%)"
"Clarkia.purpurea","Latitude × Precipitation",0.0502019669926518,0.0504934104890071,-0.0375971718531401,0.169075209822751,"Positive (90–95%)"
"Collinsia.grandiflora","Temperature",-0.0636097669856841,-0.0625382312708473,-0.111329285156384,-0.0201494978086197,"Negative (>95%)"
"Collinsia.grandiflora","Precipitation",0.0288131628595109,0.0293796934595194,-0.0173060347201671,0.0686596259888739,"Positive (90–95%)"
"Collinsia.grandiflora","Latitude",0.0247704811077052,0.0261110843411175,-0.0741533232912046,0.11414721603731,"Positive (<90%)"
"Collinsia.grandiflora","Temperature × Precipitation",0.0158972875988904,0.0123468593051925,-0.00146163777062829,0.038059178211552,"Positive (90–95%)"
"Collinsia.grandiflora","Latitude × Temperature",0.0197351967948104,0.0146189288661409,-0.0406000873927871,0.0762329832982211,"Positive (<90%)"
"Collinsia.grandiflora","Latitude × Precipitation",0.0412828244373003,0.0355865904517064,-0.00517810616417135,0.0902493243545038,"Positive (90–95%)"
"Delphinium.menziesii","Temperature",-0.0484158549243256,-0.0420092843742054,-0.117394805997578,-0.00575291111953313,"Negative (>95%)"
"Delphinium.menziesii","Precipitation",0.0459396765465546,0.0445869171931642,0.00303368575051592,0.0857056962352453,"Positive (>95%)"
"Delphinium.menziesii","Latitude",0.0801347244841602,0.100851205875109,-0.046137203371636,0.172776133944276,"Positive (<90%)"
"Delphinium.menziesii","Temperature × Precipitation",-0.00348267742688575,-0.00441701103316787,-0.0339724605891132,0.0326744202927382,"Negative (<90%)"
"Delphinium.menziesii","Latitude × Temperature",0.0141838724985854,0.0123368582301166,-0.0795944516819666,0.104822365717205,"Positive (<90%)"
"Delphinium.menziesii","Latitude × Precipitation",0.0245106618221453,0.0308434736955157,-0.0762177292071297,0.0933072941488697,"Positive (<90%)"
"Dianthus.armeria","Temperature",-0.0409950993038453,-0.0481570722338124,-0.106029454793197,0.057777724089327,"Negative (<90%)"
"Dianthus.armeria","Precipitation",0.101168993981145,0.0971003567758457,0.0500929727188393,0.151590654712191,"Positive (>95%)"
"Dianthus.armeria","Latitude",0.166967763123659,0.169962960420323,0.115794850166134,0.224118370898924,"Positive (>95%)"
"Dianthus.armeria","Temperature × Precipitation",0.03063000943518,0.0327000884814124,0.00669325951494659,0.0558600658218653,"Positive (>95%)"
"Dianthus.armeria","Latitude × Temperature",-0.0270245600027887,-0.028322374719862,-0.0976233124505608,0.0516058368487214,"Negative (<90%)"
"Dianthus.armeria","Latitude × Precipitation",0.0116505039020267,0.0138388619760477,-0.0466575573940847,0.0524907071463891,"Positive (<90%)"
"Epilobium.densiflorum","Temperature",0.0130507914646597,0.0118302033936603,-0.0560636494569476,0.0897678741603228,"Positive (<90%)"
"Epilobium.densiflorum","Precipitation",0.0983216754181038,0.0974573318623245,0.0268658222067475,0.166909370095471,"Positive (>95%)"
"Epilobium.densiflorum","Latitude",0.199694896889473,0.188855053087983,0.0222947462589798,0.372761016143708,"Positive (>95%)"
"Epilobium.densiflorum","Temperature × Precipitation",0.0063649986730807,0.00741923052155051,-0.0630965147485864,0.0614689097581083,"Positive (<90%)"
"Epilobium.densiflorum","Latitude × Temperature",0.0714754141467538,0.0584426124835835,-0.0395425221534782,0.219499458116767,"Positive (<90%)"
"Epilobium.densiflorum","Latitude × Precipitation",0.0265521951079762,0.0149360792085716,-0.05700330206441,0.121601103118313,"Positive (<90%)"
"Eriophyllum.lanatum","Temperature",-0.0112453336224732,-0.0128641526777337,-0.0562142964162571,0.0385105622177666,"Negative (<90%)"
"Eriophyllum.lanatum","Precipitation",0.0706194065886125,0.0742659498014713,0.0214733561512817,0.123080889947538,"Positive (>95%)"
"Eriophyllum.lanatum","Latitude",0.157909296990641,0.155950752366566,0.0738289375027622,0.262598012305486,"Positive (>95%)"
"Eriophyllum.lanatum","Temperature × Precipitation",-0.0215095386667552,-0.0220725086167944,-0.0527681206518514,0.00422036375742483,"Negative (>95%)"
"Eriophyllum.lanatum","Latitude × Temperature",0.0581890935884809,0.048474373766189,-0.0205961990605583,0.144506493486158,"Positive (90–95%)"
"Eriophyllum.lanatum","Latitude × Precipitation",0.0120595369080873,0.0138058428164894,-0.0968206204550554,0.0751510640818668,"Positive (<90%)"
"Geranium.dissectum","Temperature",-0.0440234954730842,-0.0390887686576508,-0.0881791835904667,0.00973404147253943,"Negative (90–95%)"
"Geranium.dissectum","Precipitation",0.0464068684273933,0.0475698307304852,-0.00706828150340733,0.112491247272661,"Positive (90–95%)"
"Geranium.dissectum","Latitude",0.229807615196812,0.229671386475445,0.170300123508557,0.296426278026859,"Positive (>95%)"
"Geranium.dissectum","Temperature × Precipitation",0.0122606849740743,0.018941054410783,-0.076679675948392,0.053746568867679,"Positive (<90%)"
"Geranium.dissectum","Latitude × Temperature",0.0258449066233534,0.0194187347367486,-0.0314169448443882,0.0858428846689604,"Positive (<90%)"
"Geranium.dissectum","Latitude × Precipitation",0.0442849346481876,0.0517776676995641,-0.0101862870197739,0.100566385602575,"Positive (<90%)"
"Geranium.lucidum","Temperature",-0.068510379932227,-0.0705406733901294,-0.0935658196881329,-0.0395476239265421,"Negative (>95%)"
"Geranium.lucidum","Precipitation",0.00919700297447023,0.0119490359918373,-0.0231535817687051,0.0289190575164305,"Positive (<90%)"
"Geranium.lucidum","Latitude",0.107210433825967,0.102104363135489,0.0646906186318386,0.16400217841186,"Positive (>95%)"
"Geranium.lucidum","Temperature × Precipitation",-0.0205995010253258,-0.0209221586427368,-0.048957821115135,-0.000398544815303521,"Negative (>95%)"
"Geranium.lucidum","Latitude × Temperature",0.0533649713082047,0.0534426228759728,0.00557998106802541,0.100955704751475,"Positive (>95%)"
"Geranium.lucidum","Latitude × Precipitation",0.113848303098234,0.114685964398673,0.0720710412161021,0.172055067592825,"Positive (>95%)"
"Iris.tenax","Temperature",-0.0754299634672111,-0.0768161826582636,-0.118473066491578,-0.0130315757601233,"Negative (>95%)"
"Iris.tenax","Precipitation",0.0672914528911933,0.0678982073623842,0.0143992505004634,0.123805073629332,"Positive (>95%)"
"Iris.tenax","Latitude",0.342534096156927,0.332857645088004,0.236168726472189,0.449391281661861,"Positive (>95%)"
"Iris.tenax","Temperature × Precipitation",0.0182661808906087,0.019591771850953,-0.00708038499024657,0.0524729712984731,"Positive (<90%)"
"Iris.tenax","Latitude × Temperature",0.116182629683275,0.118549239267692,0.042736788066762,0.210751536005038,"Positive (>95%)"
"Iris.tenax","Latitude × Precipitation",0.0537980542853748,0.0585420318041596,-0.0231735468571261,0.119305497214177,"Positive (<90%)"
"Lomatium.utriculatum","Temperature",-0.0472208089920348,-0.0543864746608472,-0.0898801216407404,0.0286956492632689,"Negative (90–95%)"
"Lomatium.utriculatum","Precipitation",0.0461558888236597,0.0415155009155027,0.00165716893591106,0.0982336705463575,"Positive (>95%)"
"Lomatium.utriculatum","Latitude",0.14879281953543,0.150964345278159,0.0251927367071225,0.251196280482424,"Positive (>95%)"
"Lomatium.utriculatum","Temperature × Precipitation",0.0348657938378712,0.0334016203381993,-0.000184446796573661,0.0831748629783042,"Positive (90–95%)"
"Lomatium.utriculatum","Latitude × Temperature",0.0837761671735952,0.0878787934082476,-0.00630344728332306,0.227205735235544,"Positive (>95%)"
"Lomatium.utriculatum","Latitude × Precipitation",0.0939311538896958,0.0972839235632209,0.0331701900035131,0.149526760743257,"Positive (>95%)"
"Lupinus.bicolor","Temperature",-0.0609224605549809,-0.0663398859574438,-0.121508414427718,-0.00971414955435014,"Negative (>95%)"
"Lupinus.bicolor","Precipitation",0.0665270471201937,0.058986504961715,0.0207303583061431,0.134866741112382,"Positive (>95%)"
"Lupinus.bicolor","Latitude",0.277242618881132,0.276104461141209,0.188357821501519,0.37554934467385,"Positive (>95%)"
"Lupinus.bicolor","Temperature × Precipitation",0.012252850161202,0.00906760761855719,-0.0258617437614929,0.0552059710752579,"Positive (<90%)"
"Lupinus.bicolor","Latitude × Temperature",0.0681513199661346,0.0652457597983066,-0.00787150751030563,0.149748832607192,"Positive (90–95%)"
"Lupinus.bicolor","Latitude × Precipitation",0.0890230182975609,0.0819539628781962,0.0386508245522446,0.170388771229814,"Positive (>95%)"
"Lysimachia.arvensis","Temperature",-0.0119049103230738,-0.0142664454653507,-0.0718020273679974,0.0481344032200235,"Negative (<90%)"
"Lysimachia.arvensis","Precipitation",0.123475140131957,0.119423048043119,0.0625715179922596,0.188885692748565,"Positive (>95%)"
"Lysimachia.arvensis","Latitude",0.180279368943342,0.180649430613752,0.0902043419793929,0.255176240980681,"Positive (>95%)"
"Lysimachia.arvensis","Temperature × Precipitation",0.0538992761676962,0.0457620315123094,0.00320362578655197,0.142470499708122,"Positive (>95%)"
"Lysimachia.arvensis","Latitude × Temperature",0.126893805109682,0.130394776016735,0.0161235403200076,0.228986726143615,"Positive (>95%)"
"Lysimachia.arvensis","Latitude × Precipitation",0.00525524219563747,-0.0010343073445741,-0.0560308670751235,0.0971865238465996,"Positive (<90%)"
"Madia.elegans","Temperature",-0.0536377770305886,-0.0510648073367245,-0.110661679501394,0.000254817098803506,"Negative (>95%)"
"Madia.elegans","Precipitation",0.1181521944082,0.120917997592414,0.068153648178522,0.166412832217399,"Positive (>95%)"
"Madia.elegans","Latitude",0.448952030850044,0.456782528670095,0.350669137438551,0.518085679378813,"Positive (>95%)"
"Madia.elegans","Temperature × Precipitation",0.00933740365353476,0.00478288897239488,-0.0448146425051562,0.0690749011173294,"Positive (<90%)"
"Madia.elegans","Latitude × Temperature",0.159600531988601,0.161830004157592,0.0571853070086824,0.239712157851851,"Positive (>95%)"
"Madia.elegans","Latitude × Precipitation",0.0703225695190696,0.0693085050539836,0.00112443542264987,0.132874370238638,"Positive (>95%)"
"Myosotis.discolor","Temperature",-0.0550439426003962,-0.0567690241376839,-0.0885772319347543,-0.016953624504466,"Negative (>95%)"
"Myosotis.discolor","Precipitation",0.0305737051469772,0.0324264501131849,-0.0117205450739753,0.0756824293824988,"Positive (<90%)"
"Myosotis.discolor","Latitude",0.079880694040293,0.0792968006915429,0.0336148649890227,0.134685234991228,"Positive (>95%)"
"Myosotis.discolor","Temperature × Precipitation",9.84152688570402e-05,-0.00249865832705548,-0.0264497356393951,0.0367863356029913,"Positive (<90%)"
"Myosotis.discolor","Latitude × Temperature",0.0155297823387399,0.0167262588221794,-0.0358344683461195,0.0672319651114214,"Positive (<90%)"
"Myosotis.discolor","Latitude × Precipitation",0.00878304786209657,0.010868112825535,-0.0421244662693067,0.0467684886546057,"Positive (<90%)"
"Plagiobothrys.figuratus","Temperature",-0.0714043597699616,-0.068138186259746,-0.150296192567143,-0.00327577101986732,"Negative (>95%)"
"Plagiobothrys.figuratus","Precipitation",0.0769472729831461,0.0791342852442682,0.0222413042912569,0.142794019119701,"Positive (>95%)"
"Plagiobothrys.figuratus","Latitude",0.262799262745049,0.252754480426165,0.12452184404452,0.400111359428044,"Positive (>95%)"
"Plagiobothrys.figuratus","Temperature × Precipitation",0.0164115109756756,0.00540220042257084,-0.0815723846748621,0.157074728770866,"Positive (<90%)"
"Plagiobothrys.figuratus","Latitude × Temperature",0.0699847156943828,0.0717702141672988,-0.0144130871794786,0.145162563332561,"Positive (<90%)"
"Plagiobothrys.figuratus","Latitude × Precipitation",0.0382593000056804,0.0402595094315,-0.0423344892672028,0.118796946973355,"Positive (<90%)"
"Plagiobothrys.nothofulvus","Temperature",-0.0602733733030349,-0.0636654549653875,-0.127879572190417,0.0268970110719525,"Negative (90–95%)"
"Plagiobothrys.nothofulvus","Precipitation",0.0643410480038038,0.0635181574136628,-0.0212587970606297,0.1387931077833,"Positive (90–95%)"
"Plagiobothrys.nothofulvus","Latitude",0.273585029423897,0.275553007375627,0.141469165040781,0.441015733069324,"Positive (>95%)"
"Plagiobothrys.nothofulvus","Temperature × Precipitation",0.0301349466779185,0.0260314276566955,-0.0218631144181778,0.120498321936515,"Positive (<90%)"
"Plagiobothrys.nothofulvus","Latitude × Temperature",0.0903338565523018,0.0789787943394814,-0.00496076193496741,0.187166796801009,"Positive (90–95%)"
"Plagiobothrys.nothofulvus","Latitude × Precipitation",0.0544314370249337,0.0484129164414083,0.00421749430965029,0.159140109810108,"Positive (>95%)"
"Plectritis.congesta","Temperature",-0.120799776231264,-0.115249261469265,-0.17687969356075,-0.0944257436733557,"Negative (>95%)"
"Plectritis.congesta","Precipitation",0.0220403109346739,0.0203250112862751,-0.0105818245906526,0.0623567901554551,"Positive (<90%)"
"Plectritis.congesta","Latitude",0.154081118262301,0.148724506001367,0.10909910315027,0.208950221168185,"Positive (>95%)"
"Plectritis.congesta","Temperature × Precipitation",-0.0214148751649091,-0.0210461844885603,-0.0478213684519486,0.00539611863523869,"Negative (90–95%)"
"Plectritis.congesta","Latitude × Temperature",0.113645674575171,0.114099457038235,0.0698540971657018,0.14566423741536,"Positive (>95%)"
"Plectritis.congesta","Latitude × Precipitation",0.0704008850235582,0.0702883539003323,0.0273495468178787,0.109437283227091,"Positive (>95%)"
"Potentilla.gracilis","Temperature",-0.0195146251768264,-0.0265036559145081,-0.0661849088905736,0.0530374958719184,"Negative (<90%)"
"Potentilla.gracilis","Precipitation",0.0773096610046095,0.08373947086762,0.00958918431409215,0.114860692103459,"Positive (>95%)"
"Potentilla.gracilis","Latitude",0.20729099717244,0.217681953442575,0.0284942434039049,0.316766826433966,"Positive (>95%)"
"Potentilla.gracilis","Temperature × Precipitation",-0.0258904642891984,-0.0246549789181507,-0.110511938794563,0.0467387843449136,"Negative (<90%)"
"Potentilla.gracilis","Latitude × Temperature",0.0304160554954112,0.0202438938033891,-0.0567780045596951,0.133347894641041,"Positive (<90%)"
"Potentilla.gracilis","Latitude × Precipitation",0.0336204100096987,0.0287054018970017,-0.0902971932807583,0.163567572883614,"Positive (<90%)"
"Ranunculus.occidentalis","Temperature",-0.0446442193961161,-0.0571831344387402,-0.0934653699022307,0.0201462812186959,"Negative (<90%)"
"Ranunculus.occidentalis","Precipitation",0.0710927237160842,0.0730146584899467,0.00485167514222592,0.136658964474666,"Positive (>95%)"
"Ranunculus.occidentalis","Latitude",0.283812487119761,0.288656466334954,0.18958344137,0.373610762316753,"Positive (>95%)"
"Ranunculus.occidentalis","Temperature × Precipitation",0.044044080903462,0.0340141109450723,-0.0110543601375018,0.134420276058676,"Positive (90–95%)"
"Ranunculus.occidentalis","Latitude × Temperature",0.0326529058220851,0.0207431892972505,-0.0356025503375416,0.115055758710284,"Positive (<90%)"
"Ranunculus.occidentalis","Latitude × Precipitation",0.058625732374565,0.0608499394681665,-0.0171568878653419,0.112152072322798,"Positive (90–95%)"
"Tellima.grandiflora","Temperature",-0.0492613397485763,-0.0487214484048654,-0.104779057286693,0.0100434703736744,"Negative (>95%)"
"Tellima.grandiflora","Precipitation",0.0581252252408717,0.0547333880996581,0.0319176697452143,0.0991071677905157,"Positive (>95%)"
"Tellima.grandiflora","Latitude",0.0928874718632816,0.0752693256481821,0.0331892438989847,0.17985455770729,"Positive (>95%)"
"Tellima.grandiflora","Temperature × Precipitation",0.0149297518764171,0.0148844535908044,-0.0132917771664712,0.0515219700138498,"Positive (<90%)"
"Tellima.grandiflora","Latitude × Temperature",-0.00845227308874323,-0.00526500051943595,-0.074221862539478,0.0654394264654106,"Negative (<90%)"
"Tellima.grandiflora","Latitude × Precipitation",0.00590813319355359,0.00729631493347005,-0.0387025601899168,0.052469024322894,"Positive (<90%)"
"Wyethia.angustifolia","Temperature",-0.0497045246135951,-0.0436065826705583,-0.129877389375773,0.0225520474961563,"Negative (<90%)"
"Wyethia.angustifolia","Precipitation",0.0671298781742225,0.069325297410027,-0.0051651033910962,0.111286796450781,"Positive (>95%)"
"Wyethia.angustifolia","Latitude",0.240721960022259,0.235265773922242,0.106775146288206,0.416026036126663,"Positive (>95%)"
"Wyethia.angustifolia","Temperature × Precipitation",0.00605259719619938,0.00360065150298752,-0.0604937460366251,0.0620082947712868,"Positive (<90%)"
"Wyethia.angustifolia","Latitude × Temperature",0.0731241015689149,0.0776486902726826,-0.0285125662119973,0.178953761574025,"Positive (<90%)"
"Wyethia.angustifolia","Latitude × Precipitation",0.0550005639255455,0.0495165526477656,-0.00543305470714387,0.127442560253774,"Positive (>95%)"
