species,life_history
Clarkia amoena,annual
Clarkia purpurea,annual
Acmispon americanus,annual
Bellardia viscosa,annual
Bidens frondosa,annual
Brassica rapa,annual
Epilobium densiflorum,annual
Geranium dissectum,annual
Geranium lucidum,annual
Madia elegans,annual
Plagiobothrys figuratus,annual
Plagiobothrys nothofulvus,annual
Plectritis congesta,annual
Lupinus bicolor,annual
Collinsia grandiflora,annual
Wyethia angustifolia,perennial
Camassia leichtlinii,perennial
Adelinia grandis,perennial
Lomatium utriculatum,perennial
Eriophyllum lanatum,perennial
Iris tenax,perennial
Ranunculus occidentalis,perennial
Sidalcea malviflora,perennial
Potentilla gracilis,perennial
Centaurium erythraea,annual
Myosotis discolor,annual
Dianthus armeria,annual
Lysimachia arvensis,annual
Tellima grandiflora,perennial
Delphinium menziesii,perennial
Dicentra formosa,perennial
Impatiens capensis,annual